N,mode,projection_type,W,recall_at_1,recall_at_5,recall_at_10,mean_rank,mean_margin,p5_margin,mean_gap_ratio,mean_top1_dist,mean_top2_dist,mean_decision_gap,neighbor_recall_at_10,distortion_rate
800,generalization,learned,256,0.935,1.0,1.0,1.09,1.4239713549613953,-0.10998706817626952,1.1712368735175014,8.745083298683166,10.169054653644562,1.4765954995155335,0.685,0.04622943326830864
1600,capacity,identity,384,0.92625,0.999375,1.0,1.101875,1.2228058695793151,-0.08419499397277831,1.131498079503429,10.11337108016014,11.336176949739457,1.2472428876161574,1.0,0.0
1600,capacity,random,32,0.45249999999999996,0.7366666666666667,0.8304166666666667,0.0,-0.006125612631440162,-0.16467538873354595,0.0,0.0,0.0,0.05376505409677823,0.5234375,0.004102527241533001
1600,capacity,svd,32,0.67,0.91125,0.97,2.27125,0.07945661641657352,-0.1436984896659851,1.0622580326509543,1.6217229595780374,1.701179575994611,0.12136694438755512,0.608625,0.05323781445622444
1600,capacity,learned,32,0.616875,0.909375,0.966875,2.5475,0.05900993790477514,-0.30920593738555907,1.0740899756760918,1.1244248636066914,1.1834348015114664,0.14018338847905398,0.5357500000000001,0.06510363519191742
1600,capacity,random,64,0.6916666666666665,0.9235416666666666,0.9679166666666666,0.0,0.10660209007561205,-0.15736082394917808,0.0,0.0,0.0,0.15100323759019374,0.6454791666666667,0.0034652556447933116
1600,capacity,svd,64,0.8425,0.999375,1.0,1.2025,0.3947253341972828,-0.09814426898956298,1.1599278298429423,2.684267348945141,3.0789926831424235,0.4205419772863388,0.7451875000000001,0.03172822669148445
1600,capacity,learned,64,0.84125,0.985,0.996875,1.344375,0.30801195427775385,-0.1922576069831848,1.1556231239588426,2.2135147009044887,2.5215266551822424,0.34956469923257827,0.620875,0.06155925244092941
1600,capacity,random,128,0.8077083333333333,0.9791666666666666,0.9941666666666666,0.0,0.3151671429971854,-0.18697888851165775,0.0,0.0,0.0,0.35702147940794626,0.7407499999999999,0.002796812215819955
1600,capacity,svd,128,0.90375,1.0,1.0,1.1325,0.7368001061677932,-0.1113577127456665,1.1797482153274788,4.506945877671241,5.243745983839035,0.757563710808754,0.8249375000000001,0.009949208237230778
1600,capacity,learned,128,0.834375,0.985625,0.996875,1.376875,0.6485756801068783,-0.3515047073364258,1.1633481369771292,4.486433274298906,5.135008954405785,0.7308615732192993,0.66025,0.06178727746009827
1600,capacity,random,256,0.8949999999999999,0.9958333333333332,0.9987499999999999,0.0,0.7435443381468456,-0.15710570017496742,0.0,0.0,0.0,0.7811402118206024,0.8034583333333334,0.0019373272468025486
1600,capacity,svd,256,0.913125,0.9975,1.0,1.120625,0.775186408162117,-0.08410339355468749,1.109344281313436,7.546547702252865,8.321734110414981,0.795376915037632,0.7849375000000001,0.011741726659238338
1600,capacity,learned,256,0.8725,0.99125,0.998125,1.241875,1.4449361869692803,-0.4011590480804443,1.1751154736256362,8.98144562959671,10.426381816565991,1.5501222267746926,0.6718124999999999,0.06112780421972275
1600,generalization,identity,384,0.93375,1.0,1.0,1.08375,1.2773905158042909,-0.06271605491638182,1.1363667829309094,10.153389729261399,11.430780245065689,1.297699782848358,1.0,0.0
1600,generalization,random,32,0.5154166666666667,0.7929166666666667,0.8791666666666668,0.0,0.009090644493699073,-0.15597588817278543,0.0,0.0,0.0,0.062350222989916805,0.5574583333333334,0.0041220310765008135
1600,generalization,svd,32,0.63375,0.945,0.9825,2.03375,0.06188083216547966,-0.12592373490333555,1.0440410749169577,1.6629350972175598,1.7248159293830394,0.10433096513152122,0.6459999999999999,0.046997036784887314
1600,generalization,learned,32,0.635,0.91625,0.96625,2.34,0.08331449866294861,-0.32684962153434755,1.1124371370673782,1.1145768329501151,1.1978913316130637,0.16462202467024326,0.585375,0.058969054371118546
1600,generalization,random,64,0.7183333333333333,0.9474999999999999,0.9804166666666666,0.0,0.12668794656793278,-0.14314799904823303,0.0,0.0,0.0,0.1684058479468028,0.6741250000000001,0.003643442876636982
1600,generalization,svd,64,0.91625,0.99875,1.0,1.1125,0.3599458512663841,-0.07386144399642944,1.1373637998994266,2.7176056244969367,3.077551475763321,0.3798843452334404,0.7588750000000001,0.029232744127511978
